,País,Preço Médio,Número
0,Albania,20.0,2.0
1,Argentina,20.794880973688922,5587.0
2,Australia,31.258479771148345,4894.0
3,Austria,31.192106322996377,2483.0
4,Bosnia and Herzegovina,12.75,4.0
5,Brazil,19.92,25.0
6,Bulgaria,11.545454545454545,77.0
7,Canada,34.628865979381445,194.0
8,Chile,19.344779743322928,5766.0
9,China,20.333333333333332,3.0
10,Croatia,23.10843373493976,83.0
11,Cyprus,15.483870967741936,31.0
12,Czech Republic,18.0,6.0
13,England,47.5,8.0
14,France,45.61988501859993,14785.0
15,Georgia,18.58139534883721,43.0
16,Germany,39.011077971879,2347.0
17,Greece,21.74770642201835,872.0
18,Hungary,44.20434782608696,230.0
19,India,13.875,8.0
20,Israel,31.304918032786887,610.0
21,Italy,37.54791311754685,18784.0
22,Japan,24.0,2.0
23,Lebanon,25.43243243243243,37.0
24,Lithuania,10.0,8.0
25,Luxembourg,40.666666666666664,9.0
26,Macedonia,15.3125,16.0
27,Mexico,29.095238095238095,63.0
28,Moldova,15.366197183098592,71.0
29,Montenegro,10.0,2.0
30,Morocco,18.833333333333332,12.0
31,New Zealand,24.173289902280132,3070.0
32,Portugal,26.332614942528735,4176.0
33,Romania,16.39568345323741,139.0
34,Serbia,24.285714285714285,14.0
35,Slovakia,15.333333333333334,3.0
36,Slovenia,28.061728395061728,81.0
37,South Africa,21.13053196244971,2237.0
38,South Korea,13.5,4.0
39,Spain,27.048529411764704,8160.0
40,Switzerland,26.5,4.0
41,Turkey,25.8,50.0
42,US,33.65380839730282,62139.0
43,US-France,50.0,1.0
44,Ukraine,13.0,5.0
45,Uruguay,25.847058823529412,85.0
